RachisFW;PetiolFW;RachisLength;PetioleLength;WidthC;ThickC
2484;1366;464;74;7;4.5
2443;1855;455;88;6.7;4
2318;1892;465;91;6.5;4.2
2240;2085;476;94;6.3;3.5
2178;1931;489;102;6.1;3.1
2378;2277;492;108;6.5;4
2352;2223;493;107.5;6.3;3.2
2275;2716;492;124;6.3;3.2
2170;2568;475;131;5.5;3
2401;2555;468;120;6;3.1
1762;2445;465;131;5.1;2.9
2088;2172;475;121;5.4;3.1
1699;2344;454;123;5;3.2
1703;2265;454;114;5.5;2.9
1392;2259;313;122;5.4;3
1275;2003;378;112;5;3
2707.2;1914.2;446;100;7;4
2601.8;2292.3;472;103;7;4
2441.8;2569.6;454;120;7;3.8
2431.4;2567.8;466;120;7;3.8
2316.5;3088.6;481;120;7;4
2561.8;2691.8;492;121;7;3.9
2690.1;3061.6;458;118;7;3.7
2468.1;3230.4;462;132;7;3.8
2104.3;3181.8;459;128;7;3.9
2232.4;3025;498;118;6;3.4
2048.8;3168;502;126;6;3.8
2241.6;2916.4;465;140;6;3.6
1719.3;2716.2;468;129;6;3
1738.8;2565.2;458;123;6;3.6
2443;1784;459;93;6;4
2659;2229;498;107;7;4
2384;2165;468;111;6.5;3.2
2429;2569;470;114;6.5;4.2
2031;2548;446;127;6.5;3.4
2242;2523;474;116;6.3;3.5
2349;2840;494;127;7;3.8
2225;2887;468;132;6.3;4.1
1832;2719;466;136.2;5.5;3
2094;2640;475;125;6;3.5
1876;2710;470;132.6;5.5;3
2381;2736;475;126;6.5;4.2
1869;2968;483;122;6;3.4
1564;2225;427;113;5.5;3.6
2431.5;1931.8;497;89;7;3.9
2486.5;2571.6;519;124;7;3.8
2971.6;3061.5;483;120;7;3.9
2308.6;2635.4;529;114;7;4.2
2456.6;2617.8;498;121;7;3.9
2761.5;2863.5;529;126;7;4
2815.3;3149.2;524;125;7;4
2671.5;3494.5;529;140;7;3.9
2416.5;3291.4;483.1;131;7;3.6
2516.8;3591.6;474;129;7;3.8
2118.6;2671.8;487.6;128;7;3.8
2587.3;3314.6;495;128;7;4
2615.5;3816.5;480;88;7;3.8
2241.5;3467.5;470;132;6;3.8
1893.5;2976.6;449;134;6;3.6
1650.6;2281.7;410;122;6;3.8
1167.2;1316.6;378;113;4.6;3
1106.5;1471.6;382;112;5;3.2
1162.6;1380.5;391;110;4;3
1058.6;1681.6;370;118;4;3.6
1066.3;1566.2;370;113.5;4;3.8
1061.6;1613.6;371;111;4;3.4
938.2;1291.7;354;92;4;3.6
945.6;1043.8;363;89;4;3.2
1064.8;1168.6;412;102;4;3.6
