Variable;Treatment;Density;Distance;MAP_14;MAP_24;MAP_36;MAP_48;MAP_60;MAP_72;MAP_84;MAP_96;MAP_107;MAP_119;MAP_131;MAP_143;MAP_156;MAP_168;MAP_180;MAP_192
CollarGirth;D1;128;9.5;67.5;100.0;163.8;205.6;237.9;249.4;262.1;269.2;266.6;;;;;;;
CollarGirth;D2;143;9;63.4;96.2;158.5;199.8;236.3;248.6;261.1;269.9;269.6;;;;;;;
CollarGirth;D3;160;8.5;62.8;96.5;156.6;200.1;236.2;243.1;256.2;265.6;266.3;;;;;;;
CollarGirth;D4;180;8;65.4;100.2;170.5;210.2;241.5;249.9;259.2;264.9;260.9;;;;;;;
CollarGirth;D5;154;8;61.5;99.7;162.1;202.0;235.9;250.3;259.8;267.5;264.5;;;;;;;
CollarGirth;D6;205;7.5;68.6;103.1;171.2;208.8;240.2;253.2;259.6;265.1;263.2;;;;;;;
FrondLength;D1;128;9.5;169.4;234;300;387;468;520;527;569;587;611;652;651;639;642;676;642
FrondLength;D2;143;9;160.8;218.7;289;377;461;512;548;573;593;619;675;667;654;661;683;661
FrondLength;D3;160;8.5;161.9;225.8;306;385;476;525;558;589;612;638;687;672;664;666;698;670
FrondLength;D4;180;8;166;230.3;322;404;485;550;552;604;618;657;708;675;671;686;718;692
FrondLength;D5;154;8;159.6;224.7;311;387;479;537;570;604;619;639;686;668;664;671;700;680
FrondLength;D6;205;7.5;166.3;229.1;320;405;497;552;560;613;628;674;726;681;690;704;744;733
GroundProjection;D1;128;9.5;;;;;;338;469;486;508;554;548;589;588;599;606;604
GroundProjection;D2;143;9;;;;;;313;470;494;520;563;557;596;592;618;631;618
GroundProjection;D3;160;8.5;;;;;;333;477;505;525;571;572;614;609;622;628;632
GroundProjection;D4;180;8;;;;;;352;492;516;537;579;587;605;625;623;642;653
GroundProjection;D5;154;8;;;;;;333;485;519;529;573;578;605;599;627;627;632
GroundProjection;D6;205;7.5;;;;;;342;493;522;542;585;590;623;640;647;657;680
StemHeight;D1;128;9.5;;;;;;81;108;138;176;221;244;282;315;352;394;435
StemHeight;D2;143;9;;;;;;84;111;140;175;223;257;289;328;374;406;452
StemHeight;D3;160;8.5;;;;;;83;109;142;178;222;257;290;331;377;408;456
StemHeight;D4;180;8;;;;;;87;114;148;186;234;267;305;339;395;425;466
StemHeight;D5;154;8;;;;;;83;102;138;174;223;261;296;335;375;410;456
StemHeight;D6;205;7.5;;;;;;88;115;145;184;228;262;309;348;393;432;487
