#' name: Aquiares;;;;;;;;
#' latitude: -2.93416  # in degrees;;;;;;;;
#' altitude: 15.5 # in meters;;;;;;;;
#' use : relativeHumidity Ri_PAR_f;;;;;;;;
date;hour_start;hour_end;temperature;relativeHumidity;VPD;Ri_PAR_f;wind;atmosphereCO2_ppm
2019-03-20;05:00:00;05:30:00;22.44708573;90;150;0;3;400
2019-03-20;05:30:00;06:00:00;23.21684285;90;150;0;3;400
2019-03-20;06:00:00;06:30:00;24;90;150;16.08287725;3;400
2019-03-20;06:30:00;07:00:00;24.78315715;90;150;75.98874867;3;400
2019-03-20;07:00:00;07:30:00;25.55291427;90;150;136.5158465;3;400
2019-03-20;07:30:00;08:00:00;26.29610059;90;150;194.7067287;3;400
2019-03-20;08:00:00;08:30:00;27;90;150;249.5657285;3;400
2019-03-20;08:30:00;09:00:00;27.65256857;90;150;300.1542012;3;400
2019-03-20;09:00:00;09:30:00;28.24264069;90;150;345.6065867;3;400
2019-03-20;09:30:00;10:00:00;28.76012004;90;150;385.1451847;3;400
2019-03-20;10:00:00;10:30:00;29.19615242;90;150;418.0934376;3;400
2019-03-20;10:30:00;11:00:00;29.5432772;90;150;443.887598;3;400
2019-03-20;11:00:00;11:30:00;29.79555496;90;150;462.0863252;3;400
2019-03-20;11:30:00;12:00:00;29.94866917;90;150;472.3782712;3;400
2019-03-20;12:00:00;12:30:00;30;90;150;474.5872895;3;400
2019-03-20;12:30:00;13:00:00;29.94866917;90;150;468.6756346;3;400
2019-03-20;13:00:00;13:30:00;29.79555496;90;150;454.744388;3;400
2019-03-20;13:30:00;14:00:00;29.5432772;90;150;433.0319961;3;400
2019-03-20;14:00:00;14:30:00;29.19615242;90;150;403.9099137;3;400
2019-03-20;14:30:00;15:00:00;28.76012004;90;150;367.8763893;3;400
2019-03-20;15:00:00;15:30:00;28.24264069;90;150;325.5480263;3;400
2019-03-20;15:30:00;16:00:00;27.65256857;90;150;277.6491205;3;400
2019-03-20;16:00:00;16:30:00;27;90;150;224.9991238;3;400
2019-03-20;16:30:00;17:00:00;26.29610059;90;150;168.4989658;3;400
2019-03-20;17:00:00;17:30:00;25.55291427;90;150;109.1153489;3;400
2019-03-20;17:30:00;18:00:00;24.78315715;90;150;47.86436276;3;400
2019-03-20;18:00:00;18:30:00;24;90;150;1.909586104;3;400
2019-03-20;18:30:00;19:00:00;23.21684285;90;150;0;3;400
